"","p","n","optimalrates","optRho","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"1",20,100,"TPR",0.1692,0.05,0.285714285714286,0.352941176470588,0.130434782608696,0.333333333333333,0.0909090909090909,0.19047619047619,0.173913043478261,0.333333333333333,0.0454545454545455,0.222222222222222,0.222222222222222,0.260869565217391,0.217391304347826,0.428571428571429,0.142857142857143,0.166666666666667,0.181818181818182,0.0952380952380952,0.125,0.1,0.173913043478261,0.166666666666667,0.166666666666667,0.235294117647059,0.3125,0.266666666666667,0.2,0.214285714285714,0.277777777777778,0.210526315789474,0,0.1,0.125,0.45,0.157894736842105,0.384615384615385,0.25,0.2,0.125,0.333333333333333,0.19047619047619,0.142857142857143,0.0909090909090909,0.176470588235294,0.15,0.0625,0.037037037037037,0,0.2
"2",20,100,"FPR",0.1692,0.1,0.102272727272727,0.0578034682080925,0.0898203592814371,0.122093023255814,0.128491620111732,0.124260355029586,0.0718562874251497,0.0581395348837209,0.119047619047619,0.0755813953488372,0.0697674418604651,0.0958083832335329,0.0778443113772455,0.118343195266272,0.0681818181818182,0.156976744186047,0.107142857142857,0.118343195266272,0.0574712643678161,0.117647058823529,0.107784431137725,0.0697674418604651,0.0786516853932584,0.0751445086705202,0.114942528735632,0.0742857142857143,0.135294117647059,0.102272727272727,0.0930232558139535,0.0994152046783626,0.0862068965517241,0.0705882352941176,0.0804597701149425,0.1,0.0760233918128655,0.096045197740113,0.0747126436781609,0.0882352941176471,0.109195402298851,0.11046511627907,0.0946745562130177,0.0965909090909091,0.0833333333333333,0.0809248554913295,0.105882352941176,0.109195402298851,0.0858895705521472,0.063953488372093,0.0787878787878788
"3",20,100,"MCE",0.1692,0.189473684210526,0.147368421052632,0.110526315789474,0.184210526315789,0.173684210526316,0.173684210526316,0.2,0.163157894736842,0.115789473684211,0.215789473684211,0.142105263157895,0.136842105263158,0.173684210526316,0.163157894736842,0.168421052631579,0.126315789473684,0.221052631578947,0.189473684210526,0.205263157894737,0.126315789473684,0.2,0.194736842105263,0.142105263157895,0.126315789473684,0.136842105263158,0.163157894736842,0.126315789473684,0.205263157894737,0.152631578947368,0.152631578947368,0.168421052631579,0.163157894736842,0.157894736842105,0.147368421052632,0.147368421052632,0.152631578947368,0.131578947368421,0.131578947368421,0.163157894736842,0.173684210526316,0.163157894736842,0.173684210526316,0.152631578947368,0.178947368421053,0.147368421052632,0.184210526315789,0.178947368421053,0.210526315789474,0.152631578947368,0.173684210526316
"4",20,1000,"TPR",0.0415,0.866666666666667,0.866666666666667,0.947368421052632,0.928571428571429,0.925925925925926,0.888888888888889,0.95,0.80952380952381,0.91304347826087,1,0.91304347826087,1,0.904761904761905,0.941176470588235,1,0.866666666666667,0.904761904761905,0.944444444444444,0.931034482758621,0.88,0.85,1,0.764705882352941,0.846153846153846,1,0.9,1,0.9375,0.894736842105263,0.888888888888889,0.818181818181818,0.882352941176471,1,0.866666666666667,0.904761904761905,1,1,0.96,0.9375,0.923076923076923,0.904761904761905,0.954545454545455,0.923076923076923,0.884615384615385,0.941176470588235,1,1,0.888888888888889,0.944444444444444,0.941176470588235
"5",20,1000,"FPR",0.0415,0.228571428571429,0.205714285714286,0.187134502923977,0.227272727272727,0.220858895705521,0.196319018404908,0.217647058823529,0.201183431952663,0.215568862275449,0.1875,0.221556886227545,0.182857142857143,0.183431952662722,0.161849710982659,0.171597633136095,0.234285714285714,0.14792899408284,0.215116279069767,0.161490683229814,0.248484848484848,0.211764705882353,0.19047619047619,0.190751445086705,0.170731707317073,0.218181818181818,0.211111111111111,0.228915662650602,0.172413793103448,0.210526315789474,0.203488372093023,0.166666666666667,0.138728323699422,0.210843373493976,0.251428571428571,0.195266272189349,0.21264367816092,0.269461077844311,0.206060606060606,0.149425287356322,0.203389830508475,0.153846153846154,0.220238095238095,0.201219512195122,0.134146341463415,0.184971098265896,0.222222222222222,0.177514792899408,0.116279069767442,0.191860465116279,0.179190751445087
"6",20,1000,"MCE",0.0415,0.221052631578947,0.2,0.173684210526316,0.215789473684211,0.2,0.184210526315789,0.2,0.2,0.2,0.173684210526316,0.205263157894737,0.168421052631579,0.173684210526316,0.152631578947368,0.152631578947368,0.226315789473684,0.142105263157895,0.2,0.147368421052632,0.231578947368421,0.205263157894737,0.168421052631579,0.194736842105263,0.168421052631579,0.189473684210526,0.205263157894737,0.2,0.163157894736842,0.2,0.194736842105263,0.168421052631579,0.136842105263158,0.184210526315789,0.242105263157895,0.184210526315789,0.194736842105263,0.236842105263158,0.184210526315789,0.142105263157895,0.194736842105263,0.147368421052632,0.2,0.184210526315789,0.131578947368421,0.173684210526316,0.2,0.157894736842105,0.115789473684211,0.178947368421053,0.168421052631579
"7",20,10000,"TPR",0.0115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8",20,10000,"FPR",0.0115,0.236686390532544,0.248520710059172,0.248520710059172,0.277456647398844,0.284883720930233,0.23121387283237,0.264367816091954,0.25,0.280701754385965,0.311764705882353,0.265895953757225,0.210526315789474,0.272151898734177,0.216867469879518,0.305882352941176,0.293413173652695,0.224137931034483,0.298850574712644,0.254237288135593,0.282208588957055,0.293413173652695,0.235955056179775,0.223529411764706,0.201149425287356,0.233532934131737,0.235632183908046,0.238095238095238,0.205714285714286,0.293785310734463,0.238095238095238,0.308571428571429,0.31547619047619,0.294117647058824,0.25,0.352201257861635,0.215116279069767,0.312138728323699,0.255813953488372,0.245714285714286,0.18452380952381,0.279761904761905,0.37125748502994,0.227544910179641,0.293413173652695,0.284883720930233,0.241176470588235,0.222857142857143,0.313609467455621,0.239766081871345,0.25
"9",20,10000,"MCE",0.0115,0.210526315789474,0.221052631578947,0.221052631578947,0.252631578947368,0.257894736842105,0.210526315789474,0.242105263157895,0.226315789473684,0.252631578947368,0.278947368421053,0.242105263157895,0.189473684210526,0.226315789473684,0.189473684210526,0.273684210526316,0.257894736842105,0.205263157894737,0.273684210526316,0.236842105263158,0.242105263157895,0.257894736842105,0.221052631578947,0.2,0.184210526315789,0.205263157894737,0.215789473684211,0.210526315789474,0.189473684210526,0.273684210526316,0.210526315789474,0.284210526315789,0.278947368421053,0.263157894736842,0.221052631578947,0.294736842105263,0.194736842105263,0.284210526315789,0.231578947368421,0.226315789473684,0.163157894736842,0.247368421052632,0.326315789473684,0.2,0.257894736842105,0.257894736842105,0.215789473684211,0.205263157894737,0.278947368421053,0.215789473684211,0.231578947368421
"10",50,100,"TPR",0.2054,0.163793103448276,0.16260162601626,0.107438016528926,0.118881118881119,0.102189781021898,0.132231404958678,0.102941176470588,0.20353982300885,0.0866141732283465,0.128205128205128,0.138686131386861,0.0962962962962963,0.123287671232877,0.109489051094891,0.183333333333333,0.151260504201681,0.153225806451613,0.121951219512195,0.1,0.104347826086957,0.154411764705882,0.176470588235294,0.174242424242424,0.16260162601626,0.137931034482759,0.117117117117117,0.1015625,0.0756302521008403,0.125,0.135593220338983,0.12,0.131386861313869,0.15625,0.0925925925925926,0.153153153153153,0.0803571428571429,0.125925925925926,0.16793893129771,0.112068965517241,0.114035087719298,0.130081300813008,0.11214953271028,0.126050420168067,0.120689655172414,0.146153846153846,0.16,0.112,0.191666666666667,0.15748031496063,0.126984126984127
"11",50,100,"FPR",0.2054,0.0513976555455365,0.0490018148820327,0.0534420289855072,0.0573012939001848,0.0404411764705882,0.0434782608695652,0.0505050505050505,0.045863309352518,0.0546448087431694,0.0306859205776173,0.0413602941176471,0.0587155963302752,0.0278035217794254,0.0643382352941176,0.0570135746606335,0.0470162748643761,0.0463215258855586,0.0508166969147005,0.0547945205479452,0.0522522522522523,0.0459136822773186,0.0533453887884268,0.040256175663312,0.0535390199637024,0.0450856627592426,0.0421903052064632,0.0355515041020966,0.0479204339963834,0.0462534690101758,0.040650406504065,0.0490909090909091,0.0533088235294118,0.0419325432999088,0.0402864816472695,0.059245960502693,0.041329739442947,0.055045871559633,0.0530164533820841,0.036068530207394,0.0315031503150315,0.0553539019963702,0.037567084078712,0.0370705244122966,0.060414788097385,0.0611872146118721,0.0463636363636364,0.0427272727272727,0.0751131221719457,0.0646630236794171,0.0363967242948135
"12",50,100,"MCE",0.2054,0.125714285714286,0.128163265306122,0.136326530612245,0.153469387755102,0.136326530612245,0.124897959183673,0.144489795918367,0.115102040816327,0.143673469387755,0.111020408163265,0.133061224489796,0.151836734693878,0.128979591836735,0.156734693877551,0.131428571428571,0.124897959183673,0.12734693877551,0.133877551020408,0.144489795918367,0.131428571428571,0.13469387755102,0.128163265306122,0.124897959183673,0.132244897959184,0.122448979591837,0.118367346938776,0.125714285714286,0.133061224489796,0.143673469387755,0.12,0.133877551020408,0.144489795918367,0.125714285714286,0.116734693877551,0.130612244897959,0.121632653061224,0.14530612244898,0.136326530612245,0.116734693877551,0.111020408163265,0.137142857142857,0.111836734693878,0.118367346938776,0.137959183673469,0.14530612244898,0.12734693877551,0.128979591836735,0.146938775510204,0.14530612244898,0.122448979591837
"13",50,1000,"TPR",0.0465,0.854368932038835,0.92,0.921052631578947,0.847328244274809,0.870689655172414,0.908333333333333,0.90990990990991,0.901639344262295,0.925619834710744,0.884955752212389,0.920792079207921,0.898148148148148,0.898648648648649,0.857142857142857,0.901408450704225,0.892307692307692,0.93984962406015,0.952830188679245,0.899082568807339,0.859375,0.878260869565217,0.888888888888889,0.873949579831933,0.878787878787879,0.885496183206107,0.904411764705882,0.838235294117647,0.888888888888889,0.903703703703704,0.859649122807018,0.857142857142857,0.87719298245614,0.897637795275591,0.867768595041322,0.904347826086957,0.852173913043478,0.895652173913044,0.905511811023622,0.854838709677419,0.87037037037037,0.869565217391304,0.9,0.894736842105263,0.888888888888889,0.870967741935484,0.890909090909091,0.877049180327869,0.909090909090909,0.885964912280702,0.918032786885246
"14",50,1000,"FPR",0.0465,0.153297682709447,0.156363636363636,0.156615661566157,0.137111517367459,0.174932371505861,0.16289592760181,0.170556552962298,0.160471441523119,0.154891304347826,0.151079136690647,0.144128113879004,0.142345568487019,0.166202414113278,0.161172161172161,0.147737765466297,0.157990867579909,0.162087912087912,0.142091152815013,0.14426523297491,0.150410209662717,0.151351351351351,0.155595996360328,0.133815551537071,0.164684354986276,0.162705667276051,0.153351698806244,0.140495867768595,0.155963302752294,0.162385321100917,0.161116111611161,0.151205936920223,0.146714671467147,0.157559198542805,0.163949275362319,0.13963963963964,0.181081081081081,0.137837837837838,0.168488160291439,0.147138964577657,0.171888988361683,0.163753449862006,0.164055299539171,0.152115211521152,0.145648312611012,0.150772025431426,0.15067264573991,0.155938349954669,0.160109789569991,0.153915391539154,0.13871260199456
"15",50,1000,"MCE",0.0465,0.15265306122449,0.148571428571429,0.149387755102041,0.138775510204082,0.170612244897959,0.155918367346939,0.163265306122449,0.154285714285714,0.146938775510204,0.147755102040816,0.138775510204082,0.138775510204082,0.158367346938776,0.159183673469388,0.142040816326531,0.15265306122449,0.151020408163265,0.133877551020408,0.140408163265306,0.149387755102041,0.148571428571429,0.151020408163265,0.133061224489796,0.16,0.157551020408163,0.146938775510204,0.142857142857143,0.151020408163265,0.155102040816327,0.159183673469388,0.150204081632653,0.144489795918367,0.151836734693878,0.160816326530612,0.135510204081633,0.177959183673469,0.13469387755102,0.160816326530612,0.146938775510204,0.168163265306122,0.16,0.156734693877551,0.147755102040816,0.142857142857143,0.148571428571429,0.146938775510204,0.15265306122449,0.15265306122449,0.150204081632653,0.133061224489796
"16",50,10000,"TPR",0.0121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17",50,10000,"FPR",0.0121,0.230839416058394,0.239962651727358,0.240072202166065,0.243144424131627,0.241727941176471,0.254083484573503,0.239782016348774,0.263396911898274,0.244805781391147,0.235720761559384,0.257826887661142,0.25456204379562,0.231818181818182,0.239269406392694,0.256340579710145,0.248194945848375,0.240072202166065,0.227927927927928,0.241598546775658,0.263254113345521,0.242479489516864,0.239410681399632,0.245960502692998,0.226702508960573,0.233885819521179,0.22151321786691,0.235401459854015,0.225626740947075,0.252957233848954,0.245677888989991,0.257272727272727,0.250445632798574,0.240218380345769,0.232,0.230352303523035,0.255415162454874,0.255434782608696,0.251595259799453,0.254361799816345,0.226785714285714,0.268953068592058,0.237659963436929,0.240888888888889,0.243989314336598,0.232472324723247,0.247956403269755,0.222118959107807,0.254237288135593,0.242095754290876,0.241252302025783
"18",50,10000,"MCE",0.0121,0.206530612244898,0.209795918367347,0.217142857142857,0.217142857142857,0.21469387755102,0.228571428571429,0.215510204081633,0.236734693877551,0.221224489795918,0.212244897959184,0.228571428571429,0.227755102040816,0.208163265306122,0.213877551020408,0.231020408163265,0.224489795918367,0.217142857142857,0.206530612244898,0.217142857142857,0.235102040816327,0.217142857142857,0.212244897959184,0.223673469387755,0.206530612244898,0.20734693877551,0.198367346938776,0.210612244897959,0.198367346938776,0.226938775510204,0.220408163265306,0.231020408163265,0.229387755102041,0.215510204081633,0.213061224489796,0.208163265306122,0.231020408163265,0.230204081632653,0.22530612244898,0.226122448979592,0.20734693877551,0.243265306122449,0.212244897959184,0.221224489795918,0.223673469387755,0.205714285714286,0.222857142857143,0.195102040816327,0.23265306122449,0.218775510204082,0.213877551020408
"19",100,1000,"TPR",0.048,0.910020449897751,0.888888888888889,0.897435897435897,0.872380952380952,0.895791583166333,0.893203883495146,0.901673640167364,0.888468809073724,0.924151696606786,0.896421845574388,0.881742738589212,0.876826722338205,0.911827956989247,0.858672376873662,0.922465208747515,0.901030927835052,0.910714285714286,0.8828125,0.879837067209776,0.892712550607287,0.898924731182796,0.886454183266932,0.916666666666667,0.879279279279279,0.879446640316206,0.904564315352697,0.902195608782435,0.909270216962525,0.896969696969697,0.901734104046243,0.89247311827957,0.910204081632653,0.909473684210526,0.896186440677966,0.889320388349515,0.881386861313869,0.875763747454175,0.87279843444227,0.913306451612903,0.904109589041096,0.901918976545842,0.901803607214429,0.873931623931624,0.890466531440162,0.92436974789916,0.907258064516129,0.898947368421053,0.892057026476578,0.907563025210084,0.880753138075314
"20",100,1000,"FPR",0.048,0.158484644698498,0.163385381307988,0.16250281341436,0.163841807909605,0.153448663221748,0.154904171364149,0.167039355992844,0.161954308979869,0.160485502360081,0.152975786377008,0.164279319606088,0.156788190561396,0.167224080267559,0.155253178674994,0.158084101641556,0.148040313549832,0.156770130454341,0.162460567823344,0.160125588697017,0.155296229802513,0.152285395763657,0.162320143884892,0.159731543624161,0.176109215017065,0.157290729072907,0.160922112802149,0.159811193526635,0.159351789331533,0.146801346801347,0.161137440758294,0.159420289855072,0.159192825112108,0.151508379888268,0.15765966949531,0.160315670800451,0.166060881417537,0.162816775061673,0.164902004956071,0.163673102828918,0.159270105879703,0.15264449899576,0.170074140642552,0.163096831771531,0.145613641462867,0.16092981671882,0.158509205208801,0.167374301675978,0.162143978470509,0.152212784979884,0.145348837209302
"21",100,1000,"MCE",0.048,0.151717171717172,0.157777777777778,0.156363636363636,0.16,0.148484848484848,0.14989898989899,0.16040404040404,0.156565656565657,0.151919191919192,0.147676767676768,0.15979797979798,0.153535353535354,0.15979797979798,0.153939393939394,0.14989898989899,0.143232323232323,0.14989898989899,0.157777777777778,0.156161616161616,0.150505050505051,0.147474747474747,0.157373737373737,0.152323232323232,0.16989898989899,0.153535353535354,0.154545454545455,0.153535353535354,0.152323232323232,0.142424242424242,0.154545454545455,0.154545454545455,0.152323232323232,0.145656565656566,0.152525252525253,0.155151515151515,0.160808080808081,0.158989898989899,0.161010101010101,0.155959595959596,0.152727272727273,0.147474747474747,0.162828282828283,0.15959595959596,0.142020202020202,0.152727272727273,0.151919191919192,0.161010101010101,0.156767676767677,0.146464646464646,0.142828282828283
"22",100,10000,"TPR",0.0129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23",100,10000,"FPR",0.0129,0.228026905829596,0.219073324336482,0.223262032085562,0.233615693267945,0.222222222222222,0.225784753363229,0.23431151241535,0.230786516853933,0.233956316145012,0.231529306085785,0.236561578589249,0.223298783235692,0.22993931220499,0.228975106526127,0.236547085201794,0.229236624132527,0.237002025658339,0.223793490460157,0.225078935498421,0.228661275831087,0.221521837010356,0.237621523852589,0.238073807380738,0.222397121655048,0.218169612888789,0.232552904097253,0.216763005780347,0.225667722951562,0.225050234427328,0.220013401831584,0.228145470973571,0.239946079532689,0.230042725432876,0.238256549232159,0.233757535164099,0.225645672859085,0.232271095152603,0.220483005366726,0.225496762670239,0.230648064806481,0.231406810035842,0.214829749103943,0.223000451875282,0.22632639355272,0.226067415730337,0.231149012567325,0.233739837398374,0.218785025778973,0.234831460674157,0.23489932885906
"24",100,10000,"MCE",0.0129,0.205454545454545,0.196767676767677,0.202424242424242,0.211717171717172,0.19959595959596,0.203434343434343,0.20969696969697,0.207474747474747,0.20989898989899,0.208282828282828,0.210707070707071,0.20020202020202,0.206666666666667,0.206262626262626,0.213131313131313,0.206868686868687,0.212727272727273,0.201414141414141,0.201616161616162,0.205656565656566,0.198787878787879,0.212323232323232,0.213737373737374,0.19979797979798,0.196969696969697,0.208686868686869,0.196969696969697,0.201414141414141,0.203636363636364,0.198989898989899,0.204040404040404,0.215757575757576,0.206666666666667,0.213131313131313,0.211515151515152,0.201212121212121,0.209090909090909,0.199191919191919,0.204040404040404,0.207070707070707,0.208686868686869,0.193737373737374,0.199393939393939,0.204242424242424,0.203232323232323,0.208080808080808,0.209090909090909,0.197171717171717,0.211111111111111,0.212121212121212
